rougeLsum,length,str_em,Disambig-F1
33.33333333333333,20.0,0.0,0.0
30.555555555555554,16.0,66.66666666666666,66.66666666666666
46.15384615384615,40.0,50.0,25.0
24.24242424242424,14.0,16.666666666666664,22.22222222222222
29.78723404255319,13.0,50.0,50.0
30.76923076923077,17.0,25.0,25.0
19.75308641975309,20.0,50.0,50.0
37.03703703703704,7.0,100.0,100.0
25.454545454545457,11.0,100.0,100.0
20.0,57.0,0.0,0.0
23.35766423357664,33.0,0.0,10.0
46.51162790697674,19.0,50.0,72.22222222222221
64.40677966101694,22.0,50.0,50.0
26.47058823529412,11.0,16.666666666666664,38.888888888888886
8.51063829787234,2.0,50.0,54.166666666666664
22.78481012658228,18.0,33.33333333333333,33.33333333333333
20.253164556962027,13.0,50.0,75.0
34.04255319148936,93.0,50.0,50.0
70.0,40.0,100.0,100.0
16.901408450704224,10.0,0.0,0.0
