rougeLsum,length,str_em,ovscore
48.00000000000001,93.0,33.33333333333333,40.0
34.57943925233645,123.0,66.66666666666666,48.01349758303141
37.77777777777777,112.0,50.0,43.46134936801766
30.057803468208093,75.0,0.0,0.0
38.16793893129771,58.0,50.0,43.685202833051896
39.26380368098159,76.0,50.0,44.3079020497369
17.72151898734177,93.0,50.0,29.76702788937936
40.909090909090914,72.0,100.0,63.960214906683134
27.710843373493976,121.0,0.0,0.0
24.85207100591716,104.0,100.0,49.85185152621431
33.18385650224215,114.0,0.0,0.0
35.294117647058826,37.0,0.0,0.0
37.073170731707314,126.0,50.0,43.054134953397515
22.81879194630873,85.0,0.0,0.0
40.20618556701031,127.0,50.0,44.83647263501574
36.70886075949367,70.0,33.33333333333333,34.98040439993686
31.64983164983165,176.0,50.0,39.780542762657
24.858757062146893,131.0,50.0,35.25532375553151
33.33333333333333,110.0,100.0,57.735026918962575
23.783783783783786,148.0,0.0,0.0
41.1764705882353,93.0,33.33333333333333,37.04792868174742
37.96296296296296,117.0,60.0,47.72607021092118
22.900763358778626,71.0,66.66666666666666,39.07323325822817
30.864197530864203,106.0,50.0,39.28371006591931
1.486784140969163,7033.0,50.0,8.622018733942658
40.17467248908297,148.0,50.0,44.81889807273433
26.865671641791046,24.0,0.0,0.0
42.53393665158371,121.0,66.66666666666666,53.25031245703866
35.83815028901734,84.0,0.0,0.0
33.92857142857142,77.0,0.0,0.0
31.325301204819272,103.0,0.0,0.0
35.34136546184739,157.0,100.0,59.44860424084605
36.04651162790698,88.0,100.0,60.03874717872366
19.51219512195122,62.0,0.0,0.0
35.05154639175258,125.0,50.0,41.86379485411743
40.67796610169491,151.0,50.0,45.09876168016973
27.428571428571423,84.0,50.0,37.03280399090205
33.52601156069364,89.0,60.0,44.85042579108495
40.00000000000001,83.0,50.0,44.721359549995796
27.358490566037734,132.0,50.0,36.985463743231435
38.61386138613862,98.0,33.33333333333333,35.87657610295731
31.155778894472363,103.0,40.0,35.3019993170202
41.9047619047619,116.0,60.0,50.142653642240695
39.726027397260275,77.0,0.0,0.0
37.931034482758626,111.0,50.0,43.54941703556928
41.46341463414634,217.0,33.33333333333333,37.1767914314591
37.03703703703704,91.0,50.0,43.03314829119352
49.12280701754386,33.0,0.0,0.0
27.11864406779661,26.0,0.0,0.0
30.150753768844226,154.0,100.0,54.909702028734614
40.182648401826484,138.0,100.0,63.389784982934344
4.545454545454546,23.0,0.0,0.0
35.526315789473685,83.0,50.0,42.146361521176225
36.29893238434163,127.0,16.666666666666664,24.596386043597825
27.058823529411768,110.0,0.0,0.0
25.53191489361702,136.0,100.0,50.52911526399114
18.257261410788388,162.0,0.0,0.0
46.87499999999999,81.0,66.66666666666666,55.901699437494734
24.896265560165975,196.0,50.0,35.28191148461629
47.05882352941176,117.0,100.0,68.59943405700353
36.71497584541063,160.0,100.0,60.59288394309238
25.59241706161138,153.0,33.33333333333333,29.20754301067413
44.843049327354265,131.0,100.0,66.96495301824251
