rougeLsum,length,str_em,ovscore
30.555555555555557,32.0,0.0,0.0
38.961038961038966,21.0,66.66666666666666,50.96471914376255
1.187178472497032,9565.0,100.0,10.895771989616119
28.846153846153843,19.0,16.666666666666664,21.92645048267573
1.5762421473443748,8304.0,100.0,12.554848256129482
32.97872340425532,99.0,0.0,0.0
0.9620692374418421,12247.0,100.0,9.808512820207975
0.855734350292996,10312.0,100.0,9.250591063780714
21.818181818181817,11.0,0.0,0.0
12.32876712328767,119.0,50.0,24.828176658071037
26.31578947368421,44.0,0.0,0.0
1.1647755798774977,9620.0,0.0,0.0
1.4814814814814814,9522.0,100.0,12.171612389003691
23.52941176470588,11.0,0.0,0.0
1.1397557666214382,10546.0,100.0,10.675934463181376
23.684210526315788,14.0,33.33333333333333,28.097574347450816
21.621621621621625,8.0,50.0,32.87979746107146
43.13725490196078,28.0,0.0,0.0
0.9158022614708905,10257.0,100.0,9.569755803942389
32.72727272727273,70.0,0.0,0.0
31.25,35.0,0.0,0.0
1.6896398399288575,10769.0,80.0,11.62631442867036
18.823529411764707,25.0,33.33333333333333,25.048971643405977
0.8985024958402662,11522.0,100.0,9.478937154767227
32.87671232876712,17.0,50.0,40.544242703969154
21.73913043478261,8.0,50.0,32.96902366978935
7.017543859649122,14.0,0.0,0.0
37.12574850299401,229.0,66.66666666666666,49.74987336867904
93.12977099236642,63.0,100.0,96.50376728002198
40.816326530612244,14.0,0.0,0.0
0.0,2.0,0.0,0.0
1.4516834280717097,11040.0,100.0,12.048582605732966
1.4039893844705074,11172.0,100.0,11.849005799941645
27.906976744186046,27.0,0.0,0.0
30.18867924528302,14.0,0.0,0.0
26.865671641791046,12.0,0.0,0.0
14.545454545454545,8.0,50.0,26.967994498529684
1.5063731170336037,9877.0,100.0,12.273439277698829
1.0394478998040384,10888.0,100.0,10.19533177392496
1.151454671067782,12512.0,100.0,10.730585590114744
23.684210526315784,16.0,33.33333333333333,28.097574347450813
19.736842105263154,35.0,0.0,0.0
25.503355704697988,26.0,60.0,39.11778805456514
1.0778542409418785,11431.0,50.0,7.341165578237146
47.78761061946902,55.0,50.0,48.88129019342116
33.4384858044164,203.0,16.666666666666664,23.60737377897578
3.225806451612903,1.0,50.0,12.70001270001905
68.42105263157893,14.0,0.0,0.0
0.9276603336009277,10773.0,100.0,9.631512516738622
52.45901639344262,22.0,100.0,72.42859683401483
1.281198003327787,11555.0,100.0,11.3190017374669
17.500000000000004,15.0,25.0,20.91650066335189
1.721479958890031,7564.0,50.0,9.277607339422246
26.737967914438503,38.0,50.0,36.56362120635654
22.5,204.0,0.0,0.0
27.027027027027025,17.0,100.0,51.98752449100363
1.031699808636326,11596.0,0.0,0.0
32.5,33.0,0.0,0.0
0.7467085871487522,9841.0,100.0,8.641230162128261
1.146084212274728,11510.0,100.0,10.705532272029858
57.14285714285715,8.0,50.0,53.45224838248488
1.0113027959547887,9630.0,100.0,10.056355184433318
1.7453474923772476,9012.0,100.0,13.211160026194701
1.4486505130637233,11177.0,80.0,10.765316578953815
22.58064516129032,98.0,0.0,0.0
38.35616438356164,17.0,50.0,43.79278729628981
2.4200688637481553,9758.0,100.0,15.556570520999013
1.181636726546906,11947.0,50.0,7.686470993072524
1.1797300920546965,10761.0,100.0,10.861538068131495
27.027027027027028,13.0,33.33333333333333,30.015011259383208
