rougeLsum,length,str_em,Disambig-F1
29.702970297029697,52.0,33.33333333333333,33.33333333333333
35.44303797468354,23.0,66.66666666666666,66.66666666666666
35.63218390804598,106.0,100.0,41.666666666666664
36.52173913043478,141.0,33.33333333333333,22.22222222222222
16.519174041297934,263.0,75.0,50.0
40.65040650406503,35.0,50.0,50.0
27.350427350427353,54.0,100.0,90.0
37.03703703703704,7.0,100.0,100.0
45.83333333333333,50.0,100.0,100.0
21.666666666666664,56.0,100.0,50.0
30.03663003663003,160.0,0.0,10.0
40.0,11.0,0.0,47.22222222222222
38.59649122807017,20.0,50.0,44.44444444444445
26.47058823529412,11.0,16.666666666666664,38.888888888888886
32.142857142857146,10.0,50.0,54.166666666666664
28.09917355371901,33.0,33.33333333333333,33.33333333333333
37.5,46.0,100.0,50.0
26.95035460992908,110.0,50.0,16.666666666666664
51.35135135135136,33.0,100.0,100.0
20.454545454545453,133.0,0.0,0.0
21.052631578947366,15.0,0.0,0.0
49.21465968586388,110.0,60.0,60.0
20.224719101123597,118.0,100.0,66.66666666666666
31.16883116883117,22.0,50.0,50.0
46.391752577319586,120.0,100.0,75.0
40.0,12.0,50.0,50.0
18.749999999999996,21.0,0.0,0.0
26.06741573033708,336.0,33.33333333333333,62.22222222222222
57.324840764331206,88.0,66.66666666666666,55.55555555555555
42.22222222222222,54.0,100.0,100.0
36.36363636363636,109.0,33.33333333333333,33.33333333333333
44.67005076142132,103.0,75.0,26.666666666666668
20.618556701030926,14.0,100.0,100.0
32.71028037383178,101.0,0.0,0.0
41.573033707865164,108.0,50.0,50.0
50.331125827814574,67.0,50.0,70.0
34.328358208955216,41.0,50.0,50.0
28.26086956521739,23.0,60.0,60.0
36.23188405797102,60.0,50.0,50.0
26.548672566371685,35.0,50.0,50.0
36.734693877551024,37.0,33.33333333333333,33.33333333333333
23.880597014925375,37.0,40.0,26.666666666666668
47.25274725274725,85.0,40.0,20.0
43.78109452736319,123.0,0.0,0.0
28.688524590163933,178.0,0.0,0.0
27.631578947368418,338.0,33.33333333333333,25.0
32.258064516129025,82.0,50.0,50.0
28.26086956521739,63.0,0.0,50.0
41.50943396226416,20.0,33.33333333333333,33.33333333333333
58.536585365853654,39.0,100.0,100.0
40.692640692640694,144.0,100.0,83.33333333333333
28.571428571428577,32.0,25.0,25.0
26.356589147286826,185.0,50.0,50.0
21.62162162162162,23.0,16.666666666666664,16.666666666666664
35.35353535353536,131.0,25.0,35.0
54.285714285714285,21.0,100.0,78.57142857142858
15.037593984962406,56.0,0.0,0.0
45.6140350877193,69.0,66.66666666666666,66.66666666666666
50.98039215686274,28.0,50.0,50.0
56.14035087719299,45.0,100.0,50.0
28.28282828282828,144.0,50.0,50.0
36.144578313253014,27.0,33.33333333333333,33.33333333333333
55.61497326203209,99.0,50.0,0.0
33.70786516853933,174.0,20.0,59.999999999999986
23.952095808383234,105.0,50.0,40.0
32.35294117647059,12.0,0.0,33.33333333333333
58.666666666666664,164.0,100.0,71.42857142857144
42.00000000000001,113.0,25.0,25.0
29.347826086956523,114.0,33.33333333333333,33.33333333333333
32.911392405063296,17.0,33.33333333333333,33.33333333333333
32.743362831858406,139.0,50.0,22.22222222222222
37.89473684210527,51.0,0.0,0.0
42.35294117647059,27.0,75.0,75.0
39.50617283950618,159.0,100.0,50.0
59.70149253731344,24.0,0.0,22.22222222222222
25.512528473804096,320.0,40.0,40.0
36.36363636363637,19.0,33.33333333333333,33.33333333333333
54.54545454545454,21.0,50.0,50.0
23.188405797101453,9.0,25.0,25.0
22.4188790560472,250.0,100.0,40.0
27.77777777777778,71.0,33.33333333333333,33.33333333333333
53.571428571428584,34.0,50.0,58.33333333333333
48.322147651006716,75.0,33.33333333333333,33.33333333333333
18.779342723004692,172.0,50.0,0.0
23.762376237623766,220.0,0.0,22.22222222222222
67.9245283018868,25.0,50.0,41.666666666666664
28.235294117647058,15.0,25.0,25.0
37.45583038869258,188.0,50.0,59.72222222222222
32.91139240506329,34.0,40.0,33.33333333333333
46.560846560846564,94.0,100.0,100.0
27.999999999999996,9.0,40.0,35.0
19.939577039274923,260.0,50.0,16.666666666666664
25.06527415143603,291.0,50.0,70.0
35.57692307692307,137.0,50.0,50.0
37.75510204081633,116.0,33.33333333333333,33.33333333333333
39.39393939393939,72.0,33.33333333333333,33.33333333333333
38.46153846153846,10.0,50.0,66.66666666666666
48.275862068965516,34.0,100.0,100.0
35.79545454545455,226.0,25.0,25.0
24.56140350877193,11.0,50.0,50.0
30.100334448160538,187.0,50.0,50.0
29.09090909090909,242.0,0.0,22.222222222222225
