rougeLsum,length,str_em,Disambig-F1
24.277456647398843,78.0,33.33333333333333,33.33333333333333
35.44303797468354,23.0,66.66666666666666,66.66666666666666
58.82352941176471,38.0,100.0,75.0
25.210084033613445,21.0,33.33333333333333,26.190476190476193
29.78723404255319,13.0,50.0,50.0
51.66666666666667,32.0,50.0,50.0
10.526315789473683,1.0,0.0,0.0
37.03703703703704,7.0,100.0,100.0
25.454545454545457,11.0,100.0,100.0
24.817518248175183,71.0,50.0,0.0
23.35766423357664,33.0,0.0,10.0
23.076923076923077,3.0,50.0,64.28571428571428
63.33333333333333,23.0,50.0,44.44444444444445
38.888888888888886,15.0,33.33333333333333,44.44444444444444
43.07692307692307,19.0,50.0,54.166666666666664
26.41509433962264,18.0,33.33333333333333,33.33333333333333
20.253164556962027,13.0,50.0,75.0
40.0,27.0,0.0,20.0
71.42857142857143,29.0,100.0,100.0
0.0,2.0,0.0,0.0
