,rougeLsum,length,str_em,Disambig-F1
0,38.68312757201646,136.0,33.33333333333333,0.0
1,40.54054054054054,88.0,66.66666666666666,66.66666666666666
2,35.10638297872341,118.0,100.0,83.33333333333334
3,37.10407239819005,135.0,16.666666666666664,22.22222222222222
4,49.162011173184354,105.0,100.0,50.0
5,44.99999999999999,110.0,100.0,90.0
6,24.043715846994537,117.0,50.0,25.0
7,42.335766423357654,79.0,100.0,100.0
8,38.35616438356165,100.0,100.0,100.0
9,22.09944751381215,119.0,0.0,0.0
10,34.28571428571428,102.0,0.0,15.384615384615385
11,42.5531914893617,22.0,50.0,72.22222222222221
12,44.10256410256411,115.0,50.0,50.0
13,37.931034482758626,59.0,33.33333333333333,55.55555555555555
14,34.83870967741935,88.0,50.0,12.5
15,54.86725663716814,51.0,66.66666666666666,66.66666666666666
16,41.463414634146346,130.0,100.0,50.0
17,24.000000000000004,129.0,50.0,25.0
18,30.88235294117647,95.0,100.0,100.0
19,54.285714285714285,79.0,66.66666666666666,0.0
