rougeLsum,length,str_em,Disambig-F1,ovscore
28.985507246376812,29.0,0.0,0.0,0.0
27.397260273972602,17.0,66.66666666666666,66.66666666666666,42.73738431706882
28.235294117647058,20.0,50.0,33.33333333333333,30.678599553894816
22.44897959183674,13.0,16.666666666666664,22.22222222222222,22.335313142016332
21.276595744680854,13.0,0.0,0.0,0.0
27.27272727272727,43.0,0.0,0.0,0.0
16.0,7.0,50.0,40.0,25.298221281347036
45.714285714285715,14.0,100.0,100.0,67.61234037828133
21.818181818181817,11.0,0.0,0.0,0.0
14.973262032085563,120.0,50.0,50.0,27.36170867479365
23.529411764705884,32.0,0.0,10.0,15.33929977694741
40.0,11.0,0.0,47.22222222222222,43.46134936801766
35.55555555555556,8.0,50.0,44.44444444444445,39.75231959999626
23.18840579710145,11.0,0.0,0.0,0.0
23.333333333333332,15.0,50.0,54.166666666666664,35.5512150128359
3.225806451612903,1.0,33.33333333333333,33.33333333333333,10.369516947304252
22.78481012658228,13.0,50.0,75.0,41.33836909571628
32.911392405063296,110.0,50.0,0.0,0.0
36.36363636363637,15.0,50.0,50.0,42.640143271122085
39.3939393939394,31.0,0.0,0.0,0.0
30.065359477124183,42.0,0.0,5.555555555555555,12.923999956395548
47.69230769230769,34.0,60.0,60.0,53.49334969450372
6.451612903225806,3.0,0.0,0.0,0.0
33.333333333333336,23.0,50.0,50.0,40.824829046386306
38.46153846153846,32.0,100.0,50.0,43.85290096535146
21.73913043478261,8.0,50.0,50.0,32.96902366978935
22.429906542056074,63.0,0.0,0.0,0.0
35.06493506493506,54.0,66.66666666666666,62.22222222222222,46.70993664969137
58.06451612903226,26.0,33.33333333333333,55.55555555555555,56.796183424706484
29.565217391304348,80.0,25.0,25.0,27.186953392806057
23.076923076923077,42.0,0.0,0.0,0.0
28.39506172839506,69.0,100.0,100.0,53.28701692569688
21.428571428571423,16.0,100.0,100.0,46.29100498862756
39.57219251336899,69.0,50.0,56.666666666666664,47.35424207422438
30.508474576271187,20.0,0.0,0.0,0.0
43.63636363636363,55.0,50.0,70.0,55.267942376620596
31.746031746031743,35.0,0.0,0.0,0.0
21.176470588235297,16.0,60.0,60.0,35.645311547160276
33.33333333333333,37.0,50.0,50.0,40.8248290463863
17.777777777777782,12.0,50.0,50.0,29.8142396999972
31.32530120481928,23.0,33.33333333333333,33.33333333333333,32.313723196612756
23.931623931623932,21.0,40.0,40.0,30.939698726150475
24.82758620689655,22.0,60.0,20.0,22.283440581246225
38.666666666666664,74.0,0.0,0.0,0.0
35.55555555555555,32.0,0.0,0.0,0.0
26.52631578947368,363.0,16.666666666666664,19.761904761904763,22.895644265138937
3.225806451612903,1.0,50.0,50.0,12.70001270001905
68.42105263157893,14.0,0.0,50.0,58.48976518656018
48.148148148148145,21.0,33.33333333333333,33.33333333333333,40.06168083848876
47.45762711864407,20.0,100.0,100.0,68.8894963827172
45.45454545454545,26.0,50.0,90.0,63.960214906683134
17.28395061728395,16.0,25.0,25.0,20.78698548207745
31.034482758620683,22.0,50.0,50.0,39.391929857916764
22.950819672131146,34.0,16.666666666666664,16.666666666666664,19.55795646794894
45.73378839590443,181.0,75.0,60.0,52.38346402973238
54.285714285714285,21.0,100.0,78.57142857142858,65.30931114664264
15.384615384615383,17.0,0.0,0.0,0.0
34.146341463414636,34.0,33.33333333333333,33.33333333333333,33.73738848983159
