rougeLsum,length,str_em,Disambig-F1
24.277456647398843,78.0,33.33333333333333,33.33333333333333
38.961038961038966,21.0,66.66666666666666,66.66666666666666
61.81818181818181,46.0,50.0,50.0
29.145728643216078,101.0,33.33333333333333,38.888888888888886
30.43478260869565,12.0,50.0,50.0
41.44144144144144,23.0,50.0,50.0
26.373626373626376,29.0,50.0,50.0
37.03703703703704,7.0,100.0,100.0
25.454545454545457,11.0,100.0,100.0
25.806451612903224,60.0,100.0,0.0
20.437956204379564,33.0,0.0,10.0
23.076923076923077,3.0,50.0,64.28571428571428
10.256410256410257,2.0,50.0,50.0
10.0,3.0,16.666666666666664,38.888888888888886
8.51063829787234,2.0,50.0,54.166666666666664
23.684210526315788,15.0,33.33333333333333,33.33333333333333
28.282828282828287,32.0,50.0,58.333333333333336
27.11864406779661,129.0,50.0,0.0
36.36363636363637,15.0,50.0,50.0
0.0,2.0,0.0,0.0
42.99065420560748,28.0,60.0,60.0
13.513513513513512,15.0,66.66666666666666,33.33333333333333
31.428571428571423,16.0,50.0,50.0
36.84210526315789,20.0,50.0,25.0
21.73913043478261,8.0,50.0,50.0
23.72881355932203,16.0,0.0,0.0
33.92226148409894,180.0,33.33333333333333,61.61616161616161
81.88976377952757,60.0,66.66666666666666,77.77777777777777
54.83870967741936,27.0,100.0,100.0
40.33613445378151,57.0,33.33333333333333,30.0
28.125,37.0,100.0,50.0
16.3265306122449,9.0,100.0,100.0
24.358974358974358,45.0,0.0,0.0
31.914893617021278,28.0,50.0,50.0
10.344827586206897,3.0,50.0,70.0
14.545454545454545,8.0,50.0,50.0
21.686746987951807,14.0,60.0,60.0
24.096385542168672,20.0,50.0,50.0
33.057851239669425,43.0,50.0,40.0
40.609137055837564,131.0,100.0,100.0
20.689655172413794,20.0,40.0,40.0
43.75,35.0,80.0,20.0
27.30627306273063,186.0,0.0,0.0
40.476190476190474,25.0,0.0,0.0
33.78016085790885,254.0,33.33333333333333,28.095238095238095
8.0,4.0,50.0,50.0
68.42105263157893,14.0,0.0,50.0
32.0,17.0,33.33333333333333,33.33333333333333
51.85185185185185,15.0,100.0,100.0
56.71641791044776,26.0,50.0,83.33333333333333
34.14634146341464,18.0,25.0,11.111111111111112
33.92857142857144,44.0,50.0,50.0
21.62162162162162,23.0,16.666666666666664,16.666666666666664
33.56643356643356,81.0,75.0,22.5
27.397260273972602,16.0,100.0,57.14285714285715
18.055555555555557,67.0,0.0,0.0
45.23809523809524,23.0,66.66666666666666,66.66666666666666
48.0,27.0,50.0,50.0
41.379310344827594,16.0,100.0,100.0
9.523809523809524,1.0,50.0,50.0
27.77777777777778,16.0,33.33333333333333,33.33333333333333
38.18181818181818,23.0,50.0,50.0
17.54385964912281,28.0,0.0,0.0
50.0,12.0,50.0,50.0
41.666666666666664,16.0,0.0,33.33333333333333
40.35087719298246,26.0,33.33333333333333,33.33333333333333
45.070422535211264,16.0,25.0,25.0
25.0,11.0,33.33333333333333,33.33333333333333
15.789473684210527,2.0,33.33333333333333,33.33333333333333
34.84848484848486,50.0,33.33333333333333,22.22222222222222
23.80952380952381,9.0,0.0,25.0
38.80597014925373,14.0,50.0,50.0
44.285714285714285,57.0,0.0,39.682539682539684
52.63157894736842,14.0,0.0,22.22222222222222
26.262626262626267,15.0,40.0,40.0
40.74074074074075,17.0,33.33333333333333,33.33333333333333
57.14285714285714,12.0,50.0,50.0
9.67741935483871,2.0,25.0,25.0
26.959247648902824,229.0,100.0,53.333333333333336
35.051546391752574,26.0,33.33333333333333,33.33333333333333
82.92682926829269,18.0,100.0,100.0
34.090909090909086,15.0,33.33333333333333,33.33333333333333
47.05882352941176,10.0,100.0,100.0
25.092250922509223,192.0,0.0,0.0
69.23076923076923,24.0,50.0,41.666666666666664
16.0,9.0,25.0,25.0
60.19417475728156,45.0,100.0,59.09090909090909
31.683168316831683,18.0,40.0,33.33333333333333
36.27906976744186,121.0,0.0,80.0
13.043478260869565,5.0,40.0,35.0
32.6530612244898,52.0,50.0,50.0
42.62295081967213,97.0,50.0,75.0
7.142857142857142,1.0,50.0,50.0
7.6923076923076925,3.0,33.33333333333333,33.33333333333333
29.850746268656714,10.0,33.33333333333333,33.33333333333333
72.72727272727273,24.0,100.0,100.0
24.000000000000004,3.0,100.0,86.66666666666667
34.5679012345679,48.0,25.0,16.666666666666664
28.57142857142857,10.0,50.0,50.0
30.939226519337016,73.0,25.0,37.17948717948718
