rougeLsum,length,str_em,ovscore
38.036809815950924,59.0,33.33333333333333,35.60749444332888
35.175879396984925,106.0,66.66666666666666,48.425805377563535
30.434782608695656,115.0,100.0,55.16772843673705
1.405389742103738,13507.0,100.0,11.854913504972265
34.78260869565218,35.0,0.0,0.0
31.007751937984494,42.0,25.0,27.842302319485224
28.070175438596497,52.0,50.0,37.463432463267765
0.7102641836292767,11076.0,100.0,8.42771726880581
40.00000000000001,81.0,0.0,0.0
24.427480916030532,70.0,0.0,0.0
33.57664233576642,67.0,0.0,0.0
40.65040650406504,56.0,0.0,0.0
21.965317919075144,94.0,50.0,33.14009499011367
20.833333333333332,37.0,0.0,0.0
27.500000000000004,94.0,25.0,26.22022120425379
22.608695652173914,27.0,0.0,0.0
35.55555555555556,106.0,50.0,42.16370213557839
23.02158273381295,113.0,0.0,0.0
30.158730158730158,85.0,50.0,38.832158167381166
26.229508196721312,87.0,50.0,36.21429841700741
44.9438202247191,28.0,66.66666666666666,54.73805515039733
42.384105960264904,71.0,20.0,29.11498100987356
17.91044776119403,74.0,100.0,42.32073695151589
26.136363636363637,119.0,50.0,36.14994027406106
24.999999999999993,134.0,100.0,49.99999999999999
39.58333333333333,112.0,50.0,44.487826050130465
22.95081967213115,18.0,0.0,0.0
37.383177570093466,110.0,66.66666666666666,49.922057629931786
35.55555555555556,93.0,0.0,0.0
36.36363636363637,64.0,25.0,30.15113445777636
26.744186046511626,109.0,0.0,0.0
29.18918918918919,93.0,100.0,54.02702026688978
41.340782122905026,94.0,100.0,64.29679783854327
25.373134328358205,34.0,0.0,0.0
37.89473684210527,53.0,50.0,43.528575006600704
44.85981308411215,129.0,50.0,47.360222277831504
18.461538461538456,18.0,50.0,30.382181012509996
17.073170731707318,13.0,0.0,0.0
36.144578313253014,23.0,50.0,42.51151509488518
33.673469387755105,114.0,50.0,41.03259033241449
37.03703703703704,82.0,33.33333333333333,35.136418446315325
37.14285714285714,44.0,40.0,38.54496446637726
48.67724867724868,96.0,60.0,54.042898891851834
45.679012345679006,88.0,0.0,0.0
38.857142857142854,113.0,50.0,44.07785320154718
41.43426294820717,139.0,33.33333333333333,37.16372018882895
45.588235294117645,65.0,50.0,47.74318553161155
36.36363636363637,52.0,0.0,0.0
28.57142857142857,36.0,0.0,0.0
50.0,61.0,100.0,70.71067811865476
59.45945945945946,101.0,50.0,54.524975680627065
10.989010989010987,26.0,0.0,0.0
29.411764705882355,67.0,50.0,38.34824944236853
33.84615384615385,47.0,50.0,41.137667560372115
34.83870967741935,95.0,0.0,0.0
38.095238095238095,76.0,100.0,61.72133998483677
21.965317919075144,97.0,0.0,0.0
26.31578947368421,15.0,0.0,0.0
29.333333333333332,109.0,50.0,38.297084310253524
46.451612903225815,86.0,100.0,68.15542010964778
26.993865030674847,116.0,100.0,51.9556205146997
37.704918032786885,64.0,33.33333333333333,35.45180673947233
54.545454545454554,78.0,100.0,73.85489458759965
36.79245283018868,123.0,40.0,38.36271775053935
20.13422818791946,89.0,0.0,0.0
33.12883435582822,107.0,50.0,40.69940684815211
40.59405940594059,71.0,100.0,63.71346749780661
42.10526315789473,106.0,25.0,32.444284226152504
32.83582089552239,79.0,33.33333333333333,33.08364192745532
24.000000000000004,13.0,0.0,0.0
37.86407766990291,85.0,33.33333333333333,35.52655235637279
30.89430894308943,78.0,0.0,0.0
28.57142857142857,59.0,75.0,46.29100498862757
36.60130718954248,73.0,0.0,0.0
34.61538461538461,71.0,0.0,0.0
37.8698224852071,84.0,40.0,38.92034043284159
52.49999999999999,42.0,33.33333333333333,41.83300132670377
29.729729729729726,103.0,0.0,0.0
36.241610738255034,62.0,25.0,30.1005027940793
41.50943396226415,82.0,100.0,64.4278153923165
32.0,53.0,0.0,0.0
22.972972972972972,94.0,50.0,33.891719470228246
39.130434782608695,107.0,33.33333333333333,36.11575592573076
33.11258278145696,111.0,100.0,57.5435337648436
24.864864864864867,113.0,0.0,0.0
24.000000000000004,93.0,0.0,0.0
20.879120879120876,108.0,25.0,22.846838336584383
33.84615384615384,113.0,25.0,29.088723694136977
42.364532019704434,77.0,60.0,50.41698048457747
34.074074074074076,75.0,0.0,0.0
30.76923076923077,49.0,40.0,35.082320772281165
31.213872832369944,102.0,50.0,39.50561531755324
37.11340206185567,107.0,50.0,43.077489517064286
40.0,77.0,50.0,44.721359549995796
47.79874213836477,78.0,33.33333333333333,39.91605447200611
37.77777777777778,105.0,33.33333333333333,35.4860431614918
35.483870967741936,79.0,100.0,59.568339718127056
37.93103448275862,50.0,75.0,53.336925166406964
46.07843137254902,89.0,25.0,33.94054779041914
24.561403508771935,56.0,50.0,35.04383220252313
24.137931034482758,45.0,25.0,24.565184222025874
31.32530120481928,94.0,0.0,0.0
32.22748815165877,128.0,25.0,28.384629710310985
31.19266055045871,48.0,25.0,27.92519496371454
38.16793893129771,77.0,0.0,0.0
31.05022831050228,94.0,0.0,0.0
44.61538461538462,55.0,100.0,66.79474875720742
0.7610350076103501,11567.0,50.0,6.168610084980044
38.857142857142854,106.0,66.66666666666666,50.896720822428136
27.745664739884397,86.0,0.0,0.0
35.2,130.0,33.33333333333333,34.25395354310701
34.394904458598724,102.0,50.0,41.46981098256823
32.0,15.0,50.0,40.0
29.523809523809526,74.0,0.0,0.0
27.586206896551722,73.0,0.0,0.0
30.687830687830687,123.0,100.0,55.39659798925444
29.268292682926834,44.0,50.0,38.2546027838003
45.74468085106383,97.0,50.0,47.825035729763876
40.57971014492753,95.0,0.0,0.0
28.915662650602407,64.0,33.33333333333333,31.04602102825331
