rougeLsum,length,str_em,ovscore
31.74603174603175,23.0,0.0,0.0
38.961038961038966,21.0,66.66666666666666,50.96471914376255
34.04255319148936,28.0,50.0,41.256849850351735
30.476190476190478,20.0,33.33333333333333,31.87276291558383
36.00000000000001,16.0,0.0,0.0
22.448979591836736,39.0,0.0,0.0
27.272727272727277,26.0,50.0,36.92744729379982
54.05405405405405,16.0,100.0,73.52146220938077
21.818181818181817,11.0,0.0,0.0
14.583333333333332,225.0,0.0,0.0
24.29906542056075,37.0,0.0,0.0
40.0,11.0,0.0,0.0
64.40677966101694,22.0,50.0,56.74803065350239
23.18840579710145,11.0,0.0,0.0
35.48387096774193,16.0,50.0,42.121176958711594
6.349206349206349,2.0,33.33333333333333,14.547859349066156
21.621621621621625,8.0,50.0,32.87979746107146
43.63636363636363,31.0,50.0,46.70993664969137
36.36363636363637,15.0,50.0,42.640143271122085
42.10526315789473,41.0,50.0,45.88314677411235
