rougeLsum,length,str_em,Disambig-F1
33.33333333333333,20.0,0.0,0.0
30.555555555555554,16.0,66.66666666666666,66.66666666666666
46.15384615384615,40.0,50.0,25.0
36.50793650793651,41.0,0.0,16.19047619047619
24.390243902439025,7.0,50.0,50.0
27.184466019417474,16.0,50.0,31.25
23.404255319148934,33.0,50.0,25.0
37.03703703703704,7.0,100.0,100.0
27.160493827160494,16.0,100.0,100.0
20.97902097902098,77.0,50.0,0.0
21.897810218978105,33.0,0.0,10.0
23.076923076923077,3.0,50.0,64.28571428571428
32.786885245901644,24.0,50.0,44.44444444444445
25.352112676056343,14.0,16.666666666666664,38.888888888888886
32.142857142857146,10.0,50.0,54.166666666666664
22.5,19.0,33.33333333333333,33.33333333333333
20.253164556962027,13.0,50.0,75.0
26.744186046511626,126.0,0.0,33.33333333333333
36.36363636363637,15.0,50.0,50.0
20.77922077922078,16.0,0.0,0.0
