rougeLsum,length,str_em,ovscore
38.036809815950924,59.0,33.33333333333333,35.60749444332888
35.175879396984925,106.0,66.66666666666666,48.425805377563535
30.434782608695656,115.0,100.0,55.16772843673705
1.405389742103738,13507.0,100.0,11.854913504972265
34.78260869565218,35.0,0.0,0.0
31.007751937984494,42.0,25.0,27.842302319485224
28.070175438596497,52.0,50.0,37.463432463267765
0.7102641836292767,11076.0,100.0,8.42771726880581
40.00000000000001,81.0,0.0,0.0
24.427480916030532,70.0,0.0,0.0
33.57664233576642,67.0,0.0,0.0
40.65040650406504,56.0,0.0,0.0
21.965317919075144,94.0,50.0,33.14009499011367
20.833333333333332,37.0,0.0,0.0
27.500000000000004,94.0,25.0,26.22022120425379
22.608695652173914,27.0,0.0,0.0
35.55555555555556,106.0,50.0,42.16370213557839
23.02158273381295,113.0,0.0,0.0
30.158730158730158,85.0,50.0,38.832158167381166
26.229508196721312,87.0,50.0,36.21429841700741
44.9438202247191,28.0,66.66666666666666,54.73805515039733
42.384105960264904,71.0,20.0,29.11498100987356
17.91044776119403,74.0,100.0,42.32073695151589
26.136363636363637,119.0,50.0,36.14994027406106
24.999999999999993,134.0,100.0,49.99999999999999
39.58333333333333,112.0,50.0,44.487826050130465
22.95081967213115,18.0,0.0,0.0
37.383177570093466,110.0,66.66666666666666,49.922057629931786
35.55555555555556,93.0,0.0,0.0
36.36363636363637,64.0,25.0,30.15113445777636
26.744186046511626,109.0,0.0,0.0
29.18918918918919,93.0,100.0,54.02702026688978
41.340782122905026,94.0,100.0,64.29679783854327
25.373134328358205,34.0,0.0,0.0
37.89473684210527,53.0,50.0,43.528575006600704
44.85981308411215,129.0,50.0,47.360222277831504
18.461538461538456,18.0,50.0,30.382181012509996
17.073170731707318,13.0,0.0,0.0
36.144578313253014,23.0,50.0,42.51151509488518
33.673469387755105,114.0,50.0,41.03259033241449
37.03703703703704,82.0,33.33333333333333,35.136418446315325
37.14285714285714,44.0,40.0,38.54496446637726
48.67724867724868,96.0,60.0,54.042898891851834
45.679012345679006,88.0,0.0,0.0
