rougeLsum,length,str_em,Disambig-F1
42.97520661157024,132.0,66.66666666666666,33.33333333333333
41.66666666666667,86.0,66.66666666666666,66.66666666666666
52.348993288590606,85.0,100.0,70.83333333333333
65.9090909090909,78.0,66.66666666666666,61.11111111111111
38.775510204081634,64.0,100.0,75.0
39.252336448598136,124.0,75.0,75.0
27.027027027027028,85.0,50.0,50.0
20.57142857142857,116.0,100.0,100.0
41.221374045801525,84.0,100.0,100.0
24.82758620689655,84.0,50.0,50.0
33.92857142857143,114.0,0.0,19.230769230769234
44.66019417475728,37.0,50.0,72.22222222222221
47.5,82.0,100.0,50.0
36.36363636363636,117.0,33.33333333333333,27.777777777777775
30.952380952380953,103.0,50.0,54.166666666666664
51.37614678899083,47.0,66.66666666666666,66.66666666666666
42.79835390946502,124.0,50.0,50.0
35.67567567567568,135.0,50.0,20.0
71.23287671232875,32.0,100.0,100.0
43.29896907216495,83.0,66.66666666666666,0.0
42.93785310734463,97.0,20.0,0.0
29.761904761904763,108.0,100.0,33.33333333333333
25.882352941176467,112.0,50.0,50.0
43.15789473684211,114.0,100.0,58.33333333333333
47.179487179487175,113.0,100.0,64.28571428571428
20.869565217391305,72.0,0.0,5.0
40.85106382978723,129.0,66.66666666666666,61.61616161616161
51.78571428571429,150.0,100.0,88.88888888888889
37.288135593220346,83.0,100.0,100.0
18.656716417910445,206.0,33.33333333333333,33.33333333333333
30.952380952380953,102.0,100.0,100.0
29.591836734693878,111.0,100.0,100.0
30.62200956937799,97.0,0.0,0.0
33.9622641509434,88.0,50.0,0.0
20.338983050847457,180.0,50.0,70.0
42.63959390862944,105.0,50.0,50.0
28.387096774193548,74.0,60.0,60.0
53.14685314685315,71.0,100.0,50.0
36.279069767441854,135.0,100.0,80.76923076923077
39.76608187134503,109.0,100.0,100.0
37.28813559322033,80.0,60.0,60.0
49.03846153846153,115.0,60.0,60.0
39.24050632911393,79.0,100.0,100.0
41.25,101.0,50.0,28.571428571428577
40.869565217391305,119.0,33.33333333333333,33.33333333333333
38.857142857142854,104.0,50.0,33.33333333333333
32.98969072164948,69.0,0.0,50.0
43.678160919540225,30.0,33.33333333333333,33.33333333333333
29.31937172774869,149.0,100.0,100.0
43.83561643835617,33.0,50.0,33.33333333333333
40.944881889763785,64.0,25.0,0.0
30.48780487804878,94.0,50.0,50.0
44.516129032258064,158.0,50.0,22.22222222222222
34.93975903614458,104.0,75.0,60.0
38.1578947368421,92.0,100.0,57.14285714285715
19.54022988505747,97.0,0.0,0.0
48.61111111111111,83.0,66.66666666666666,60.0
30.18867924528302,117.0,50.0,50.0
58.333333333333336,98.0,100.0,100.0
28.57142857142857,118.0,100.0,50.0
45.751633986928105,93.0,33.33333333333333,33.33333333333333
47.27272727272727,129.0,100.0,50.0
43.07692307692308,108.0,20.0,0.0
19.51219512195122,103.0,50.0,50.0
53.191489361702125,37.0,50.0,33.33333333333333
36.15819209039548,85.0,100.0,100.0
37.58389261744966,94.0,50.0,50.0
37.12574850299401,99.0,33.33333333333333,33.33333333333333
37.9746835443038,92.0,100.0,76.19047619047619
38.70967741935483,101.0,50.0,36.19047619047619
25.641025641025646,110.0,0.0,0.0
38.92617449664429,90.0,75.0,75.0
35.71428571428571,109.0,50.0,0.0
57.73195876288659,53.0,50.0,66.66666666666667
44.680851063829785,90.0,40.0,40.0
40.28776978417266,37.0,33.33333333333333,33.33333333333333
31.213872832369944,130.0,100.0,100.0
50.90909090909093,76.0,25.0,25.0
29.310344827586203,154.0,100.0,45.714285714285715
31.63841807909605,106.0,66.66666666666666,66.66666666666666
45.91836734693878,139.0,100.0,37.5
34.55497382198953,118.0,66.66666666666666,13.333333333333334
26.31578947368421,113.0,50.0,50.0
36.36363636363637,116.0,0.0,60.31746031746032
57.44680851063829,65.0,100.0,91.66666666666666
45.16129032258064,54.0,75.0,25.0
52.80898876404495,93.0,100.0,59.72222222222222
49.2462311557789,74.0,40.0,13.333333333333334
44.897959183673464,86.0,0.0,67.27272727272727
30.53435114503817,89.0,60.0,55.00000000000001
30.097087378640776,134.0,50.0,50.0
32.47863247863248,146.0,50.0,45.83333333333333
40.0,112.0,50.0,50.0
45.05494505494506,102.0,66.66666666666666,33.33333333333333
39.36170212765957,113.0,33.33333333333333,33.33333333333333
53.75,98.0,100.0,100.0
25.581395348837205,105.0,100.0,90.0
51.162790697674424,139.0,50.0,25.0
36.697247706422026,105.0,50.0,50.0
35.44303797468354,129.0,50.0,50.0
51.231527093596064,130.0,100.0,51.11111111111112
36.44859813084112,129.0,0.0,12.5
26.77165354330709,65.0,25.0,25.0
36.986301369863014,86.0,50.0,50.0
58.20105820105821,121.0,50.0,66.66666666666666
44.72573839662448,156.0,100.0,83.33333333333333
20.915032679738562,98.0,50.0,50.0
42.42424242424242,98.0,66.66666666666666,66.66666666666666
63.095238095238095,80.0,66.66666666666666,41.111111111111114
15.686274509803924,40.0,0.0,0.0
40.229885057471265,119.0,50.0,50.0
45.07042253521127,35.0,100.0,50.0
41.97530864197531,106.0,100.0,100.0
45.41062801932367,77.0,0.0,45.0
32.72727272727273,101.0,50.0,78.57142857142858
34.14634146341463,90.0,50.0,50.0
50.267379679144376,97.0,50.0,32.142857142857146
41.23711340206185,81.0,50.0,0.0
45.662100456621005,114.0,33.33333333333333,55.55555555555555
33.10344827586207,78.0,66.66666666666666,66.66666666666666
30.98591549295775,95.0,100.0,50.0
39.53488372093023,84.0,75.0,82.14285714285714
20.74074074074074,91.0,50.0,0.0
46.927374301675975,104.0,33.33333333333333,33.33333333333333
45.42124542124542,120.0,60.0,73.33333333333333
36.95652173913043,122.0,50.0,0.0
30.53435114503817,93.0,100.0,57.14285714285715
39.02439024390244,107.0,100.0,66.66666666666666
31.952662721893493,112.0,50.0,50.0
35.44303797468354,14.0,33.33333333333333,33.33333333333333
36.129032258064505,80.0,0.0,8.333333333333332
52.4822695035461,55.0,100.0,100.0
44.221105527638194,110.0,0.0,41.14285714285714
46.7391304347826,119.0,33.33333333333333,36.75213675213675
24.161073825503358,94.0,0.0,24.28571428571429
51.42857142857144,36.0,66.66666666666666,66.66666666666666
50.7177033492823,126.0,100.0,100.0
25.961538461538463,142.0,100.0,75.0
42.7906976744186,89.0,40.0,40.0
44.44444444444444,116.0,100.0,91.66666666666666
49.70414201183432,89.0,0.0,50.0
38.1679389312977,83.0,100.0,100.0
33.4841628959276,139.0,50.0,75.0
36.46408839779005,108.0,100.0,100.0
43.95604395604395,59.0,100.0,100.0
35.44303797468354,71.0,100.0,25.0
1.951219512195122,4874.0,50.0,70.0
34.72222222222222,88.0,80.0,80.0
27.966101694915256,83.0,16.666666666666664,16.666666666666664
29.585798816568047,110.0,0.0,13.333333333333334
29.441624365482234,115.0,0.0,3.846153846153846
33.9622641509434,70.0,20.0,20.0
47.05882352941176,73.0,100.0,50.0
33.33333333333333,62.0,100.0,100.0
34.17085427135679,115.0,16.666666666666664,13.333333333333334
41.1214953271028,94.0,50.0,60.17857142857142
35.2112676056338,97.0,0.0,0.0
34.17085427135678,128.0,0.0,49.523809523809526
28.220858895705526,79.0,0.0,0.0
50.0,76.0,100.0,100.0
39.10614525139665,110.0,0.0,0.0
35.22727272727273,88.0,33.33333333333333,44.44444444444444
39.784946236559136,78.0,25.0,35.0
45.263157894736835,133.0,50.0,50.0
50.0,59.0,33.33333333333333,43.49650349650349
29.629629629629633,12.0,50.0,50.0
38.34586466165413,175.0,100.0,100.0
52.800000000000004,77.0,100.0,100.0
37.34939759036144,90.0,33.33333333333333,55.55555555555555
34.831460674157306,91.0,66.66666666666666,33.33333333333333
39.130434782608695,120.0,0.0,30.58823529411765
39.16083916083916,106.0,50.0,92.85714285714286
48.08743169398907,72.0,100.0,62.66666666666667
23.711340206185564,90.0,33.33333333333333,16.666666666666664
50.66666666666667,82.0,100.0,50.0
34.73684210526316,112.0,25.0,23.333333333333332
35.064935064935064,98.0,40.0,60.0
49.63503649635037,65.0,50.0,58.333333333333336
32.91139240506329,65.0,0.0,33.33333333333333
54.285714285714285,139.0,100.0,100.0
54.460093896713616,124.0,83.33333333333334,54.76190476190476
36.61971830985915,129.0,33.33333333333333,33.33333333333333
33.33333333333333,109.0,100.0,100.0
37.404580152671755,151.0,33.33333333333333,44.44444444444444
43.037974683544306,101.0,66.66666666666666,63.597883597883595
44.522968197879855,161.0,33.33333333333333,42.85714285714286
45.39007092198582,66.0,100.0,0.0
33.14285714285714,99.0,66.66666666666666,42.85714285714286
44.62809917355372,76.0,100.0,100.0
45.28301886792452,27.0,33.33333333333333,33.33333333333333
24.186046511627907,151.0,0.0,28.181818181818187
51.64319248826291,131.0,50.0,50.0
47.19101123595505,91.0,50.0,50.0
34.523809523809526,88.0,0.0,25.0
34.92063492063492,99.0,100.0,50.0
45.56962025316456,98.0,50.0,50.0
43.83561643835617,69.0,33.33333333333333,44.44444444444444
43.575418994413404,88.0,20.0,20.0
33.84615384615385,84.0,16.666666666666664,16.666666666666664
39.63133640552995,136.0,33.33333333333333,33.33333333333333
