rougeLsum,length,str_em,Disambig-F1,ovscore
25.396825396825403,23.0,33.33333333333333,33.33333333333333,29.095718698132316
38.961038961038966,21.0,66.66666666666666,66.66666666666666,50.96471914376255
24.65753424657534,9.0,50.0,50.0,35.11234415883917
22.44897959183674,13.0,16.666666666666664,22.22222222222222,22.335313142016332
29.78723404255319,13.0,50.0,50.0,38.59224924939799
62.99212598425197,39.0,50.0,50.0,56.12135332663137
21.62162162162162,19.0,50.0,50.0,32.879797461071455
43.75,11.0,100.0,100.0,66.14378277661477
25.454545454545457,11.0,100.0,100.0,50.4524979109513
28.31858407079646,49.0,50.0,0.0,0.0
24.827586206896555,41.0,0.0,10.0,15.756771943166708
31.578947368421055,14.0,50.0,72.22222222222221,47.756693294091924
32.786885245901644,24.0,50.0,44.44444444444445,38.173222287591216
25.0,15.0,0.0,16.666666666666664,20.41241452319315
23.52941176470588,5.0,50.0,54.166666666666664,35.70027736477083
24.528301886792455,18.0,33.33333333333333,33.33333333333333,28.593881563947935
18.91891891891892,8.0,50.0,75.0,37.6685401750442
30.687830687830687,142.0,100.0,0.0,0.0
46.51162790697674,36.0,100.0,100.0,68.19943394704734
39.473684210526315,41.0,0.0,0.0,0.0
16.901408450704224,10.0,0.0,0.0,0.0
42.85714285714286,30.0,40.0,40.0,41.403933560541255
14.705882352941178,9.0,66.66666666666666,33.33333333333333,22.140372138502382
50.0,29.0,100.0,50.0,50.0
44.09448818897638,55.0,100.0,50.0,46.95449296338764
40.0,12.0,50.0,50.0,44.721359549995796
22.22222222222222,38.0,0.0,0.0,0.0
37.086092715231786,51.0,66.66666666666666,40.0,38.515499589246815
93.74999999999999,60.0,100.0,88.88888888888889,91.28709291752767
51.28205128205128,43.0,100.0,100.0,71.61148740394329
6.25,2.0,33.33333333333333,33.33333333333333,14.433756729740644
39.682539682539684,35.0,100.0,100.0,62.9940788348712
22.000000000000004,17.0,100.0,100.0,46.9041575982343
13.008130081300814,22.0,0.0,0.0,0.0
33.33333333333333,21.0,50.0,50.0,40.8248290463863
20.74688796680498,183.0,50.0,70.0,38.10881994599608
14.545454545454545,8.0,50.0,50.0,26.967994498529684
22.916666666666668,17.0,60.0,60.0,37.080992435478315
33.33333333333333,69.0,100.0,50.0,40.8248290463863
30.08849557522124,35.0,50.0,40.0,34.69207147186299
32.00000000000001,15.0,33.33333333333333,33.33333333333333,32.65986323710904
20.51282051282051,21.0,40.0,40.0,28.644594961577315
36.36363636363637,42.0,60.0,44.00000000000001,40.00000000000001
27.343749999999993,165.0,0.0,0.0,0.0
43.373493975903614,24.0,0.0,0.0,0.0
44.44444444444445,179.0,16.666666666666664,18.754578754578755,28.8710379712409
3.225806451612903,1.0,50.0,50.0,12.70001270001905
68.42105263157893,14.0,0.0,50.0,58.48976518656018
32.432432432432435,19.0,33.33333333333333,33.33333333333333,32.879797461071455
51.85185185185185,15.0,100.0,100.0,72.00822998230956
34.34343434343434,19.0,50.0,77.49999999999999,51.59085346857678
28.571428571428577,26.0,25.0,12.5,18.898223650461365
33.84615384615385,28.0,50.0,50.0,41.137667560372115
25.210084033613445,31.0,16.666666666666664,16.666666666666664,20.49800154226969
30.53435114503817,67.0,75.0,60.0,42.802582500385306
27.027027027027025,17.0,100.0,57.14285714285715,39.29887459459297
27.82608695652174,41.0,0.0,0.0,0.0
28.57142857142857,16.0,33.33333333333333,34.81481481481482,31.539007509891537
23.076923076923077,3.0,50.0,50.0,33.96831102433787
41.379310344827594,16.0,100.0,100.0,64.32675209026769
57.14285714285715,8.0,50.0,50.0,53.45224838248488
27.272727272727277,10.0,33.33333333333333,33.33333333333333,30.15113445777636
54.54545454545454,45.0,50.0,50.0,52.22329678670935
36.97478991596639,41.0,20.0,43.63636363636363,40.167715620274706
18.51851851851852,50.0,0.0,0.0,0.0
30.769230769230766,20.0,50.0,33.33333333333333,32.025630761017425
39.705882352941174,48.0,100.0,100.0,63.01260378126044
35.82089552238806,12.0,25.0,25.0,29.925280083228984
48.73949579831933,51.0,33.33333333333333,33.33333333333333,40.30694555463087
31.16883116883117,16.0,33.33333333333333,33.33333333333333,32.23291856101521
33.333333333333336,44.0,16.666666666666664,22.22222222222222,27.216552697590867
38.297872340425535,14.0,0.0,25.0,30.942637387763803
45.56962025316456,21.0,75.0,75.0,58.46128222154678
27.083333333333336,16.0,50.0,50.0,36.79900360969936
32.43243243243243,5.0,0.0,33.33333333333333,32.879797461071455
27.45098039215686,18.0,40.0,40.0,33.13667478318056
44.897959183673464,12.0,33.33333333333333,33.33333333333333,38.68589716493314
57.14285714285714,12.0,50.0,50.0,53.452248382484875
18.947368421052634,9.0,25.0,25.0,21.764287503300352
27.009646302250808,222.0,100.0,56.666666666666664,39.12220116243732
30.303030303030305,28.0,33.33333333333333,33.33333333333333,31.78208630818641
90.90909090909089,20.0,100.0,50.0,67.4199862463242
29.333333333333332,13.0,33.33333333333333,33.33333333333333,31.26943839882286
41.37931034482759,49.0,100.0,100.0,64.32675209026769
28.05755395683453,200.0,0.0,13.333333333333334,19.341683469244874
69.23076923076923,24.0,50.0,41.666666666666664,53.70861555295746
16.0,9.0,25.0,25.0,20.0
51.546391752577314,40.0,75.0,22.222222222222225,33.844872171120635
33.766233766233775,30.0,40.0,40.0,36.751181622491416
42.59259259259259,121.0,0.0,80.0,58.37300238472754
13.043478260869565,5.0,40.0,35.0,21.36636934835759
26.363636363636367,145.0,50.0,25.0,25.672765902623524
29.411764705882355,184.0,50.0,0.0,0.0
7.142857142857142,1.0,50.0,50.0,18.89822365046136
21.27659574468085,19.0,33.33333333333333,33.33333333333333,26.631182064565373
32.35294117647059,11.0,33.33333333333333,33.33333333333333,32.839478871459264
47.27272727272727,13.0,100.0,100.0,68.75516509523285
24.000000000000004,3.0,100.0,81.66666666666667,44.271887242357316
42.61168384879725,170.0,25.0,16.666666666666664,26.649478997032706
29.411764705882355,22.0,50.0,50.0,38.34824944236853
27.35042735042735,46.0,25.0,25.0,26.148818018424535
76.82926829268291,89.0,100.0,82.85714285714285,79.78629994263792
29.962546816479396,175.0,0.0,33.33333333333333,31.603030875998478
16.216216216216218,14.0,25.0,25.0,20.134681656420728
50.70422535211267,17.0,50.0,50.0,50.35088149780134
81.73913043478261,48.0,50.0,66.66666666666666,73.81920727235453
27.95698924731183,19.0,50.0,50.0,37.3878250552983
43.90243902439024,10.0,50.0,50.0,46.85212856658182
54.94505494505494,25.0,66.66666666666666,66.66666666666666,60.52275326688024
33.33333333333333,188.0,33.33333333333333,60.26936026936026,44.8216317824925
30.456852791878177,68.0,0.0,22.22222222222222,26.01574428938419
38.46153846153846,24.0,50.0,50.0,43.85290096535146
26.470588235294112,10.0,50.0,50.0,36.38034375544994
32.55813953488372,19.0,0.0,50.0,40.34732923929645
40.0,13.0,0.0,45.0,42.42640687119285
47.05882352941176,60.0,100.0,78.57142857142858,60.80689921050603
