rougeLsum,length,str_em,ovscore
32.14285714285714,16.0,0.0,0.0
27.848101265822784,22.0,66.66666666666666,43.0875861982101
28.235294117647058,20.0,50.0,37.573457465108966
29.126213592233015,18.0,16.666666666666664,22.032632461961587
29.78723404255319,13.0,0.0,0.0
30.188679245283023,46.0,25.0,27.472112789737807
15.789473684210526,19.0,50.0,28.097574347450816
44.44444444444444,7.0,100.0,66.66666666666667
21.818181818181817,11.0,0.0,0.0
16.091954022988507,110.0,0.0,0.0
24.29906542056075,37.0,0.0,0.0
26.53061224489796,33.0,0.0,0.0
34.48275862068966,21.0,50.0,41.52273992686999
32.323232323232325,42.0,16.666666666666664,23.210354127426378
32.72727272727273,9.0,50.0,40.45199174779452
23.684210526315788,15.0,33.33333333333333,28.097574347450816
35.39823008849557,46.0,50.0,42.07031619116712
22.485207100591715,121.0,50.0,33.5299918733898
37.93103448275862,18.0,50.0,43.54941703556927
22.499999999999996,123.0,0.0,0.0
32.298136645962735,49.0,0.0,0.0
34.92063492063492,30.0,40.0,37.37412737209254
6.451612903225806,3.0,0.0,0.0
13.114754098360656,6.0,50.0,25.607375986579196
33.33333333333334,22.0,50.0,40.824829046386306
21.73913043478261,8.0,50.0,32.96902366978935
14.906832298136646,111.0,0.0,0.0
36.090225563909776,33.0,66.66666666666666,49.051147158797264
46.15384615384615,36.0,33.33333333333333,39.2232270276368
45.714285714285715,35.0,25.0,33.806170189140666
23.300970873786405,41.0,0.0,0.0
33.02752293577982,44.0,100.0,57.46957711326909
19.23076923076923,12.0,100.0,43.85290096535146
20.51282051282051,44.0,0.0,0.0
16.666666666666664,9.0,0.0,0.0
32.32323232323232,44.0,0.0,0.0
27.41935483870968,33.0,0.0,0.0
22.727272727272727,19.0,60.0,36.927447293799815
24.69135802469136,19.0,50.0,35.13641844631533
18.390804597701152,9.0,50.0,30.323921743156138
28.2051282051282,18.0,33.33333333333333,30.662207033593322
24.113475177304966,24.0,40.0,31.05702830426953
23.287671232876715,23.0,40.0,30.520597132347667
30.45267489711934,161.0,0.0,0.0
44.61538461538461,69.0,0.0,0.0
24.137931034482754,316.0,16.666666666666664,20.057388927143844
3.225806451612903,1.0,50.0,12.70001270001905
68.42105263157893,14.0,0.0,0.0
1.633208574345015,5653.0,100.0,12.779704904046161
60.0,26.0,100.0,77.45966692414834
2.4526198439241917,6031.0,100.0,15.660842390893894
31.654676258992808,70.0,25.0,28.131244310816047
31.034482758620683,22.0,50.0,39.391929857916764
22.950819672131146,34.0,16.666666666666664,19.55795646794894
23.44322344322344,162.0,25.0,24.209101306752096
37.68115942028986,20.0,100.0,61.38498140448514
17.67955801104972,107.0,0.0,0.0
36.11111111111111,25.0,0.0,0.0
40.96385542168674,42.0,0.0,0.0
61.97183098591549,29.0,100.0,78.72218936609644
9.523809523809524,1.0,50.0,21.821789023599237
25.352112676056343,15.0,0.0,0.0
32.38095238095238,19.0,50.0,40.23739080814782
41.666666666666664,63.0,20.0,28.867513459481287
15.384615384615385,34.0,0.0,0.0
32.35294117647059,12.0,0.0,0.0
4.444444444444445,2.0,33.33333333333333,12.171612389003691
45.070422535211264,16.0,25.0,33.56725433186756
45.36082474226804,44.0,33.33333333333333,38.8847976902148
27.027027027027028,13.0,33.33333333333333,30.015011259383208
38.26086956521739,32.0,33.33333333333333,35.71221526089609
44.0,17.0,0.0,0.0
38.80597014925373,14.0,50.0,44.048819592160314
42.39130434782608,104.0,0.0,0.0
62.16216216216217,32.0,50.0,55.75040903982776
26.262626262626267,15.0,40.0,32.41149565362652
22.857142857142858,33.0,33.33333333333333,27.602622373694167
55.00000000000001,17.0,50.0,52.44044240850758
18.947368421052634,9.0,25.0,21.764287503300352
22.15743440233236,251.0,100.0,47.071684059880795
30.61224489795918,26.0,0.0,0.0
22.58064516129032,126.0,50.0,33.60107525161235
42.27642276422764,50.0,33.33333333333333,37.53950042476486
39.34426229508197,23.0,50.0,44.353276257274366
22.52252252252252,146.0,0.0,0.0
63.829787234042556,19.0,25.0,39.94677309684806
16.0,9.0,25.0,20.0
59.87261146496815,74.0,100.0,77.37739428603689
27.027027027027025,27.0,20.0,23.249527748763857
36.97478991596638,56.0,100.0,60.806899210506025
38.70967741935484,21.0,20.0,27.824333745610097
34.48275862068965,103.0,50.0,41.52273992686998
36.641221374045806,78.0,50.0,42.802582500385306
7.142857142857142,1.0,50.0,18.89822365046136
7.6923076923076925,3.0,33.33333333333333,16.012815380508712
42.5531914893617,37.0,0.0,0.0
74.62686567164178,25.0,100.0,86.38684255813601
21.428571428571427,48.0,0.0,0.0
38.70967741935484,72.0,25.0,31.10855084191276
28.57142857142857,10.0,50.0,37.79644730092272
22.98288508557457,283.0,50.0,33.89903028522687
57.14285714285715,54.0,0.0,0.0
33.744855967078195,160.0,25.0,29.045161372885413
25.64102564102564,18.0,25.0,25.318484177091666
23.684210526315784,23.0,0.0,0.0
78.99159663865547,52.0,50.0,62.8456826833218
24.29906542056075,33.0,50.0,34.85617981116172
12.121212121212121,2.0,50.0,24.618298195866544
54.05405405405405,22.0,66.66666666666666,60.030022518766415
