rougeLsum,length,str_em,Disambig-F1,ovscore
46.62576687116564,60.0,66.66666666666666,33.33333333333333,39.42324478069828
35.294117647058826,81.0,66.66666666666666,66.66666666666666,48.507125007266595
43.24324324324325,118.0,100.0,100.0,65.75959492214292
40.0,149.0,50.0,33.33333333333333,36.51483716701107
24.137931034482758,80.0,75.0,50.0,34.740416688982556
50.25641025641027,106.0,75.0,75.0,61.394061351492056
25.174825174825173,78.0,50.0,33.333333333333336,28.968272975116054
28.947368421052634,94.0,100.0,100.0,53.802758684897036
37.931034482758626,106.0,100.0,100.0,61.588176205143974
25.510204081632654,130.0,100.0,50.0,35.714285714285715
22.127659574468083,126.0,0.0,10.0,14.8753687599562
47.45762711864406,53.0,50.0,72.22222222222221,58.54481438950909
28.758169934640527,115.0,50.0,44.44444444444445,35.751096290659724
41.30434782608695,34.0,33.33333333333333,33.33333333333333,37.10541192606408
34.586466165413526,86.0,50.0,54.166666666666664,43.28317899553936
42.465753424657535,83.0,33.33333333333333,33.33333333333333,37.62346494084843
37.00440528634362,112.0,50.0,50.0,43.014186779679804
31.958762886597935,149.0,50.0,33.33333333333333,32.638812726873674
52.25225225225225,71.0,100.0,100.0,72.28571937267571
32.43243243243243,110.0,100.0,90.0,54.02702026688978
38.82352941176471,58.0,0.0,0.0,0.0
50.26178010471204,94.0,60.0,60.0,54.91545143475307
21.91780821917808,229.0,66.66666666666666,33.33333333333333,27.029495135979435
32.30769230769231,73.0,50.0,25.0,28.419928002940253
33.33333333333333,111.0,50.0,25.0,28.867513459481287
40.625,110.0,50.0,50.0,45.069390943299865
17.97752808988764,133.0,0.0,0.0,0.0
48.39857651245551,180.0,100.0,63.33333333333333,55.36463834544738
52.542372881355924,145.0,100.0,77.77777777777777,63.92674715550009
38.655462184873954,83.0,100.0,100.0,62.173517018803075
27.27272727272727,110.0,33.33333333333333,33.33333333333333,30.151134457776358
39.04382470119522,154.0,100.0,100.0,62.48505797484325
33.33333333333333,31.0,100.0,100.0,57.735026918962575
36.0,87.0,33.33333333333333,33.33333333333333,34.64101615137754
42.857142857142854,73.0,50.0,50.0,46.29100498862757
37.254901960784316,118.0,50.0,75.0,52.85941398709244
37.03703703703704,71.0,50.0,50.0,43.03314829119352
33.14285714285714,92.0,60.0,60.0,44.59340117743239
50.65502183406113,153.0,100.0,100.0,71.17234142141253
36.263736263736256,103.0,100.0,73.33333333333333,51.56879540323449
37.18592964824121,94.0,33.33333333333333,33.33333333333333,35.20697357448815
38.0,104.0,60.0,46.666666666666664,42.11096452627668
40.28776978417267,181.0,60.0,20.0,28.385830896478147
52.23880597014925,60.0,100.0,50.0,51.1071452783998
32.195121951219505,144.0,0.0,0.0,0.0
31.8407960199005,285.0,16.666666666666664,20.370370370370374,25.46779943011936
36.87150837988826,108.0,50.0,33.33333333333333,35.057813384887666
28.148148148148145,109.0,0.0,50.0,37.515428924742515
36.170212765957444,61.0,33.33333333333333,33.33333333333333,34.72281323374084
32.87671232876713,105.0,100.0,100.0,57.33821790809959
47.435897435897445,76.0,100.0,73.33333333333334,58.97993284696482
41.791044776119406,96.0,50.0,36.11111111111111,38.84740739560193
33.93939393939394,97.0,50.0,56.25,43.69314487526515
37.49999999999999,121.0,33.33333333333333,16.666666666666664,24.999999999999996
53.81165919282511,120.0,75.0,47.5,50.55743082534152
41.37931034482759,113.0,100.0,57.14285714285715,48.62645390838647
17.28395061728395,165.0,0.0,0.0,0.0
42.85714285714286,93.0,66.66666666666666,0.0,0.0
22.988505747126435,130.0,50.0,50.0,33.90317518104052
43.386243386243386,119.0,100.0,100.0,65.86823467062358
33.33333333333333,91.0,50.0,50.0,40.8248290463863
34.437086092715234,95.0,33.33333333333333,33.33333333333333,33.88071530763739
48.21428571428572,136.0,50.0,50.0,49.099025303098294
33.027522935779814,130.0,0.0,0.0,0.0
19.607843137254903,91.0,0.0,0.0,0.0
42.307692307692314,100.0,0.0,33.33333333333333,37.553380809940535
42.051282051282044,103.0,33.33333333333333,33.33333333333333,37.4394097403979
49.16201117318436,96.0,50.0,25.0,35.05781338488767
31.03448275862069,120.0,33.33333333333333,33.33333333333333,32.163376045133845
37.89473684210526,33.0,33.33333333333333,33.33333333333333,35.54093266554554
24.024024024024023,247.0,66.66666666666666,22.22222222222222,23.105566440446058
32.758620689655174,66.0,0.0,60.0,44.33415434379357
39.02439024390244,69.0,75.0,50.0,44.172610429938615
29.433962264150942,182.0,100.0,50.0,38.36271775053935
44.44444444444444,55.0,50.0,83.33333333333333,60.858061945018456
44.57142857142857,78.0,40.0,40.0,42.223893032939806
40.64171122994652,83.0,33.33333333333333,33.33333333333333,36.80657152825952
30.232558139534888,126.0,50.0,50.0,38.87965929604765
40.0,96.0,25.0,16.666666666666664,25.81988897471611
21.42857142857143,360.0,100.0,66.66666666666666,37.79644730092272
32.92682926829268,92.0,66.66666666666666,33.33333333333333,33.12945782245396
32.748538011695906,114.0,100.0,50.0,40.465131911125596
45.714285714285715,97.0,66.66666666666666,33.33333333333333,39.036002917941325
14.953271028037385,279.0,50.0,50.0,27.34343708098653
24.46043165467626,202.0,0.0,22.22222222222222,23.31448365033407
31.645569620253163,103.0,50.0,41.666666666666664,36.31205586088292
27.31707317073171,133.0,25.0,25.0,26.13286875312951
52.0408163265306,113.0,100.0,91.66666666666666,69.06814144933469
