rougeLsum,length,str_em,Disambig-F1,ovscore
40.0,139.0,33.33333333333333,0.0,0.0
30.327868852459016,186.0,66.66666666666666,66.66666666666666,44.96507448561903
38.37209302325581,103.0,50.0,16.666666666666664,25.289026942943654
41.474654377880185,129.0,66.66666666666666,55.55555555555555,48.001536073731934
61.25000000000001,86.0,25.0,0.0,0.0
29.545454545454547,174.0,50.0,50.0,38.43530573929037
23.68421052631579,88.0,50.0,40.0,30.779350562554626
29.18918918918919,120.0,100.0,100.0,54.02702026688978
40.19607843137255,133.0,0.0,0.0,0.0
26.035502958579883,107.0,0.0,0.0,0.0
33.333333333333336,148.0,0.0,10.0,18.257418583505537
38.620689655172406,77.0,0.0,47.22222222222222,42.705442150527254
32.67326732673268,124.0,50.0,50.0,40.418601736535045
29.05027932960894,113.0,16.666666666666664,11.11111111111111,17.966103679988585
40.845070422535215,74.0,100.0,54.166666666666664,47.03659548217739
40.0,89.0,66.66666666666666,66.66666666666666,51.63977794943222
34.08360128617364,192.0,50.0,50.0,41.28171585955073
20.394736842105267,251.0,50.0,33.33333333333333,26.073445522283947
37.95620437956204,86.0,100.0,100.0,61.60860684966187
17.454545454545457,233.0,50.0,40.0,26.423130363032655
43.84615384615385,147.0,33.33333333333333,5.555555555555555,15.607361839521232
41.81184668989547,189.0,60.0,60.0,50.087032267780934
0.8461047254150702,11991.0,100.0,0.0,0.0
24.576271186440678,176.0,50.0,50.0,35.05443708465497
29.24528301886793,138.0,100.0,100.0,54.07890810553402
37.59398496240602,177.0,50.0,50.0,43.355498476206
14.349775784753366,174.0,0.0,0.0,0.0
40.909090909090914,204.0,66.66666666666666,61.61616161616161,50.20618644176028
50.24630541871922,112.0,66.66666666666666,77.77777777777777,62.51436616499838
23.60248447204969,125.0,50.0,0.0,0.0
15.950920245398773,260.0,0.0,0.0,0.0
29.48717948717949,215.0,100.0,100.0,54.30209893473685
34.25414364640884,96.0,100.0,100.0,58.527039602570746
41.10671936758893,135.0,0.0,17.85714285714286,27.093330547120203
31.967213114754102,174.0,0.0,0.0,0.0
37.06563706563706,174.0,50.0,70.0,50.937163197361066
33.33333333333333,52.0,50.0,50.0,40.8248290463863
37.41935483870968,71.0,60.0,20.0,27.35666457692154
24.37673130193906,268.0,50.0,50.0,34.91183989847789
36.0655737704918,102.0,50.0,50.0,42.46502900652006
39.82683982683983,127.0,33.33333333333333,33.33333333333333,36.43571500000141
31.896551724137932,135.0,40.0,40.0,35.71921148297534
48.19277108433735,155.0,60.0,65.71428571428571,56.27569216277407
35.53299492385787,125.0,0.0,0.0,0.0
25.573770491803277,238.0,50.0,50.0,35.75875451676364
23.269513991163475,565.0,50.0,43.65079365079365,31.87056249240877
40.49079754601227,92.0,50.0,50.0,44.99488723511387
32.0,74.0,0.0,25.0,28.284271247461902
24.074074074074073,52.0,33.33333333333333,33.33333333333333,28.32788618662658
37.17948717948718,111.0,100.0,100.0,60.974984362021104
2.3909330849247015,6191.0,100.0,55.55555555555556,11.525173136623591
12.173913043478263,49.0,0.0,0.0,0.0
32.558139534883715,146.0,50.0,50.0,40.34732923929644
43.12267657992565,118.0,33.33333333333333,33.33333333333333,37.913355861281765
29.35153583617748,181.0,25.0,0.0,0.0
34.285714285714285,152.0,100.0,57.14285714285715,44.26266681379905
18.62348178137652,169.0,0.0,0.0,0.0
35.416666666666664,129.0,66.66666666666666,33.33333333333333,34.359213546813834
23.82978723404255,189.0,50.0,50.0,34.51795709050765
53.25443786982249,98.0,100.0,100.0,72.97563831157798
30.841121495327105,166.0,100.0,100.0,55.5347832401704
36.60130718954248,94.0,0.0,0.0,0.0
38.31417624521073,166.0,50.0,50.0,43.76881095324085
33.80281690140845,194.0,60.0,84.44444444444444,53.427147536591484
17.48633879781421,120.0,0.0,33.33333333333333,24.142865611338273
32.93172690763052,187.0,50.0,33.33333333333333,33.131921620309775
36.05150214592275,101.0,33.33333333333333,33.33333333333333,34.665786276924756
41.73913043478261,147.0,25.0,25.0,32.302914123489934
32.773109243697476,168.0,33.33333333333333,33.33333333333333,33.052034351759886
45.652173913043484,53.0,66.66666666666666,50.0,47.77665429529546
38.13559322033899,142.0,33.33333333333333,15.277777777777777,24.137670116315448
26.490066225165563,106.0,0.0,0.0,0.0
35.44303797468355,98.0,75.0,75.0,51.558004694724815
36.51452282157677,157.0,50.0,0.0,0.0
33.50785340314136,145.0,50.0,55.45454545454545,43.10641227971482
34.78260869565217,131.0,40.0,40.0,37.30019232961255
36.04240282685512,179.0,66.66666666666666,66.66666666666666,49.01863783423275
22.22222222222222,254.0,50.0,50.0,33.333333333333336
42.857142857142854,91.0,25.0,25.0,32.732683535398856
17.877094972067038,446.0,100.0,51.66666666666666,30.391609152694272
22.881355932203387,166.0,0.0,16.666666666666664,19.528336647123577
16.113744075829384,153.0,50.0,64.28571428571428,32.18514483005924
31.386861313868614,198.0,33.33333333333333,16.666666666666664,22.871693317967157
24.347826086956523,188.0,100.0,50.0,34.89113503954588
14.64354527938343,429.0,0.0,0.0,0.0
23.88059701492537,141.0,25.0,38.07692307692307,30.15459592779038
31.472081218274113,126.0,25.0,25.0,28.04999163024568
4.6902142443543715,3251.0,100.0,84.72222222222221,19.93402552120427
54.19354838709678,180.0,100.0,60.0,57.022915597378976
37.09090909090909,177.0,100.0,100.0,60.90230627070628
23.44322344322344,163.0,40.0,35.0,28.644594961577315
20.103092783505154,312.0,50.0,25.0,22.41823631750787
25.287356321839077,258.0,100.0,50.0,35.55795011093797
29.32330827067669,197.0,50.0,0.0,0.0
36.43122676579926,189.0,33.33333333333333,33.33333333333333,34.84787261120314
34.024896265560166,179.0,66.66666666666666,0.0,0.0
35.42857142857142,131.0,100.0,100.0,59.52190473142759
27.835051546391753,122.0,100.0,25.0,26.37946717922471
46.101694915254235,180.0,25.0,16.666666666666664,27.719335885278777
31.404958677685958,124.0,50.0,50.0,39.62635403218795
32.28699551569507,111.0,25.0,0.0,0.0
22.268907563025213,396.0,50.0,33.33333333333333,27.245126514066822
19.732441471571907,504.0,75.0,35.0,26.279943902242575
36.0655737704918,59.0,25.0,0.0,0.0
25.000000000000007,133.0,0.0,0.0,0.0
53.62776025236593,183.0,50.0,66.66666666666666,59.79284252169648
