,rougeLsum,length,str_em,Disambig-F1
0,35.3356890459364,176.0,33.33333333333333,22.22222222222222
1,35.44303797468354,23.0,66.66666666666666,66.66666666666666
2,48.648648648648646,79.0,100.0,100.0
3,35.65891472868217,44.0,16.666666666666664,13.333333333333334
4,21.05263157894737,243.0,50.0,50.0
5,53.59477124183007,65.0,50.0,50.0
6,30.303030303030305,37.0,50.0,50.0
7,34.48275862068966,9.0,100.0,100.0
8,25.454545454545457,11.0,100.0,100.0
9,16.666666666666664,93.0,50.0,50.0
10,24.691358024691354,57.0,0.0,15.384615384615385
11,40.0,11.0,0.0,52.27272727272727
12,45.34883720930233,93.0,50.0,50.0
13,12.529002320185615,345.0,33.33333333333333,10.0
14,39.344262295081975,15.0,50.0,17.045454545454547
15,29.702970297029697,39.0,33.33333333333333,33.33333333333333
16,37.25490196078432,131.0,100.0,50.0
17,20.080321285140563,198.0,50.0,10.0
18,66.66666666666667,41.0,100.0,75.0
19,33.57664233576643,75.0,33.33333333333333,0.0
20,50.54945054945056,103.0,40.0,40.0
21,40.476190476190474,24.0,100.0,100.0
22,30.18867924528302,48.0,50.0,50.0
23,24.888888888888893,163.0,50.0,25.0
24,64.8936170212766,115.0,100.0,100.0
25,23.333333333333336,16.0,0.0,0.0
26,25.957446808510642,347.0,33.33333333333333,61.61616161616161
27,43.049327354260086,132.0,66.66666666666666,66.66666666666666
28,62.06896551724138,23.0,100.0,100.0
29,18.51851851851852,207.0,0.0,0.0
30,30.769230769230766,38.0,100.0,83.33333333333333
31,28.37837837837838,65.0,100.0,88.88888888888889
32,27.2189349112426,58.0,0.0,0.0
33,27.77777777777778,41.0,50.0,50.0
34,21.774193548387096,191.0,50.0,70.0
35,17.241379310344826,11.0,50.0,50.0
36,24.742268041237114,18.0,60.0,30.0
37,34.34343434343434,33.0,100.0,50.0
38,33.87096774193548,46.0,50.0,59.09090909090909
39,23.85321100917431,114.0,66.66666666666666,66.66666666666666
40,29.88505747126437,55.0,40.0,10.0
41,36.470588235294116,47.0,60.0,40.0
42,48.611111111111114,66.0,100.0,100.0
43,43.41085271317829,68.0,0.0,0.0
44,36.19631901840491,212.0,16.666666666666664,19.761904761904763
45,38.26714801444043,202.0,50.0,50.0
46,52.459016393442624,36.0,0.0,50.0
47,52.054794520547944,40.0,66.66666666666666,66.66666666666666
48,44.067796610169495,77.0,100.0,50.0
49,40.0,62.0,50.0,55.55555555555556
50,34.78260869565217,29.0,25.0,12.5
51,32.25806451612903,26.0,50.0,50.0
52,38.139534883720934,66.0,66.66666666666666,33.33333333333333
53,34.95145631067961,43.0,25.0,35.0
54,47.86324786324786,67.0,100.0,57.14285714285715
55,20.94240837696335,117.0,0.0,0.0
56,38.26086956521739,68.0,66.66666666666666,40.74074074074075
57,41.379310344827594,35.0,50.0,50.0
58,57.377049180327866,53.0,100.0,100.0
59,50.877192982456144,67.0,50.0,50.0
60,35.0,62.0,33.33333333333333,33.33333333333333
61,46.808510638297875,54.0,50.0,50.0
62,17.54385964912281,28.0,0.0,4.0
63,30.379746835443033,53.0,50.0,0.0
64,38.88888888888889,17.0,50.0,33.33333333333333
65,38.46153846153847,67.0,100.0,100.0
66,46.808510638297875,59.0,25.0,25.0
67,30.87248322147651,95.0,33.33333333333333,33.33333333333333
68,42.35294117647058,48.0,100.0,16.666666666666664
69,35.21126760563381,59.0,50.0,22.22222222222222
70,46.15384615384615,34.0,0.0,48.75
71,14.657210401891252,355.0,75.0,50.0
72,51.42857142857142,94.0,100.0,50.0
73,64.70588235294117,25.0,0.0,22.22222222222222
74,33.33333333333333,29.0,40.0,40.0
75,42.622950819672134,22.0,66.66666666666666,16.666666666666664
76,36.66666666666667,37.0,50.0,50.0
77,44.44444444444444,40.0,25.0,25.0
78,17.99163179916318,388.0,100.0,40.0
79,34.72222222222222,73.0,100.0,66.66666666666666
80,68.61313868613138,79.0,100.0,50.0
81,35.64356435643564,37.0,33.33333333333333,33.33333333333333
82,41.17647058823529,10.0,100.0,91.66666666666666
83,17.174515235457065,274.0,0.0,11.11111111111111
84,60.526315789473685,48.0,100.0,91.66666666666666
85,34.285714285714285,71.0,25.0,25.0
86,60.64516129032258,73.0,75.0,41.666666666666664
87,49.31506849315069,94.0,40.0,13.333333333333334
