,rougeLsum,length,str_em,Disambig-F1
188,36.36363636363637,11.0,60.0,60.0
189,40.0,34.0,33.33333333333333,33.33333333333333
190,14.218009478672988,342.0,0.0,0.0
191,42.05607476635514,124.0,100.0,50.0
192,45.51724137931035,61.0,50.0,25.0
193,32.35294117647059,32.0,0.0,25.0
194,33.84615384615385,25.0,100.0,50.0
195,52.42718446601942,43.0,100.0,50.0
196,33.33333333333333,32.0,33.33333333333333,44.44444444444444
197,40.0,44.0,40.0,40.0
198,22.37762237762238,66.0,33.33333333333333,16.666666666666664
199,40.54054054054054,133.0,100.0,16.666666666666664
