rougeLsum,length,str_em,Disambig-F1
23.52941176470588,312.0,66.66666666666666,33.33333333333333
31.043256997455472,288.0,100.0,66.66666666666666
18.94273127753304,365.0,100.0,100.0
30.76923076923077,196.0,66.66666666666666,58.333333333333336
28.277634961439592,308.0,100.0,50.0
34.96503496503497,189.0,75.0,70.0
14.444444444444443,275.0,50.0,0.0
25.53191489361702,169.0,100.0,100.0
18.502202643171806,367.0,100.0,100.0
9.268292682926829,331.0,100.0,0.0
18.91348088531187,370.0,0.0,0.0
27.118644067796605,156.0,50.0,47.22222222222222
21.413276231263385,374.0,50.0,50.0
20.689655172413794,331.0,33.33333333333333,50.0
18.469656992084435,295.0,50.0,0.0
22.983870967741936,389.0,66.66666666666666,33.33333333333333
27.32673267326733,367.0,100.0,100.0
12.868632707774799,313.0,50.0,0.0
19.926199261992615,219.0,100.0,75.0
33.33333333333333,243.0,33.33333333333333,0.0
29.711751662971174,340.0,60.0,20.0
24.096385542168676,178.0,100.0,33.33333333333333
18.055555555555554,354.0,100.0,100.0
24.18604651162791,346.0,100.0,50.0
25.316455696202528,368.0,100.0,83.33333333333333
7.4725274725274735,395.0,0.0,0.0
36.681222707423586,341.0,66.66666666666666,62.22222222222222
27.160493827160494,369.0,66.66666666666666,77.77777777777777
6.682577565632459,341.0,0.0,0.0
17.660044150110377,359.0,33.33333333333333,33.33333333333333
24.786324786324787,347.0,75.0,51.66666666666666
19.489559164733176,340.0,100.0,100.0
30.508474576271187,224.0,16.666666666666664,15.0
20.28301886792453,341.0,50.0,50.0
31.182795698924732,271.0,100.0,70.0
23.636363636363637,337.0,50.0,50.0
21.390374331550806,278.0,60.0,60.0
25.076452599388382,231.0,100.0,50.0
18.0327868852459,385.0,50.0,50.0
31.554524361948953,313.0,33.33333333333333,33.33333333333333
22.71714922048998,338.0,40.0,26.666666666666668
25.149700598802394,385.0,80.0,30.0
20.278330019880716,392.0,0.0,0.0
21.192052980132452,235.0,0.0,0.0
23.440453686200378,401.0,16.666666666666664,11.428571428571429
21.827411167512693,318.0,50.0,50.0
8.153477218225419,376.0,0.0,50.0
18.63799283154122,206.0,33.33333333333333,33.33333333333333
34.5679012345679,117.0,100.0,100.0
45.744680851063826,105.0,50.0,83.33333333333333
41.89189189189189,83.0,25.0,11.111111111111112
17.22689075630252,389.0,50.0,65.75757575757575
35.18164435946463,347.0,100.0,16.666666666666664
35.39823008849557,314.0,75.0,60.0
18.75,398.0,100.0,57.14285714285715
8.080808080808081,409.0,0.0,0.0
45.9016393442623,72.0,66.66666666666666,66.66666666666666
48.27586206896552,35.0,50.0,50.0
46.56084656084655,115.0,100.0,100.0
15.517241379310349,409.0,50.0,50.0
18.300653594771244,372.0,66.66666666666666,66.66666666666666
32.49427917620138,329.0,100.0,50.0
17.31958762886598,379.0,20.0,63.636363636363626
7.427055702917771,284.0,0.0,0.0
18.543046357615893,370.0,50.0,33.33333333333333
47.940074906367045,134.0,100.0,71.42857142857144
18.497109826589593,421.0,50.0,16.666666666666664
16.867469879518076,412.0,100.0,66.66666666666666
26.720647773279353,195.0,100.0,64.81481481481481
28.163265306122447,347.0,83.33333333333334,22.22222222222222
16.875,262.0,0.0,44.44444444444445
21.266968325791854,356.0,100.0,75.0
21.02908277404922,344.0,50.0,50.0
70.0,37.0,0.0,22.22222222222222
27.027027027027028,398.0,40.0,40.0
35.555555555555564,112.0,33.33333333333333,33.33333333333333
15.615615615615615,276.0,50.0,50.0
24.038461538461537,302.0,25.0,25.0
16.877637130801688,372.0,100.0,66.66666666666666
18.858560794044664,320.0,100.0,50.0
19.90740740740741,357.0,50.0,62.5
17.551020408163264,401.0,66.66666666666666,66.66666666666666
15.760869565217389,317.0,100.0,100.0
15.767634854771787,393.0,0.0,13.333333333333334
19.662921348314608,288.0,50.0,41.666666666666664
15.013404825737267,291.0,25.0,25.0
44.84304932735426,133.0,100.0,59.72222222222222
31.923076923076927,365.0,40.0,40.0
19.95841995841996,356.0,0.0,45.83333333333333
27.777777777777775,168.0,80.0,80.71428571428572
13.88286334056399,365.0,50.0,0.0
18.290258449304176,407.0,50.0,64.28571428571429
25.358851674641148,343.0,50.0,50.0
21.867881548974943,344.0,33.33333333333333,33.33333333333333
21.238938053097346,346.0,66.66666666666666,33.33333333333333
29.571984435797667,206.0,100.0,100.0
14.06593406593407,370.0,100.0,86.66666666666667
29.7951582867784,411.0,25.0,16.666666666666664
25.654450261780106,265.0,50.0,50.0
28.455284552845526,366.0,100.0,41.666666666666664
20.901639344262293,396.0,0.0,31.313131313131315
19.46902654867257,350.0,75.0,50.0
21.142857142857142,213.0,25.0,14.285714285714288
17.987152034261243,365.0,50.0,50.0
45.598194130925506,299.0,50.0,72.22222222222221
19.665271966527197,388.0,100.0,50.0
